May 6, 2023   16:49:13
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 6.229e-4
-0.099, 6.117e-4
-0.098, 6.070e-4
-0.097, 6.046e-4
-0.096, 6.038e-4
-0.095, 6.035e-4
-0.094, 6.036e-4
-0.093, 6.035e-4
-0.092, 6.028e-4
-0.091, 6.028e-4
-0.090, 6.024e-4
-0.089, 6.028e-4
-0.088, 6.032e-4
-0.087, 6.026e-4
-0.086, 6.031e-4
-0.085, 6.031e-4
-0.084, 6.028e-4
-0.083, 6.030e-4
-0.082, 6.033e-4
-0.081, 6.043e-4
-0.080, 6.039e-4
-0.079, 6.039e-4
-0.078, 6.042e-4
-0.077, 6.048e-4
-0.076, 6.040e-4
-0.075, 6.048e-4
-0.074, 6.051e-4
-0.073, 6.050e-4
-0.072, 6.046e-4
-0.071, 6.043e-4
-0.070, 6.049e-4
-0.069, 6.041e-4
-0.068, 6.033e-4
-0.067, 6.046e-4
-0.066, 6.043e-4
-0.065, 6.044e-4
-0.064, 6.054e-4
-0.063, 6.059e-4
-0.062, 6.066e-4
-0.061, 6.072e-4
-0.060, 6.064e-4
-0.059, 6.063e-4
-0.058, 6.072e-4
-0.057, 6.073e-4
-0.056, 6.067e-4
-0.055, 6.082e-4
-0.054, 6.088e-4
-0.053, 6.089e-4
-0.052, 6.079e-4
-0.051, 6.077e-4
-0.050, 6.084e-4
-0.049, 6.073e-4
-0.048, 6.074e-4
-0.047, 6.082e-4
-0.046, 6.099e-4
-0.045, 6.103e-4
-0.044, 6.090e-4
-0.043, 6.093e-4
-0.042, 6.093e-4
-0.041, 6.088e-4
-0.040, 6.088e-4
-0.039, 6.096e-4
-0.038, 6.100e-4
-0.037, 6.103e-4
-0.036, 6.119e-4
-0.035, 6.124e-4
-0.034, 6.100e-4
-0.033, 6.098e-4
-0.032, 6.101e-4
-0.031, 6.112e-4
-0.030, 6.117e-4
-0.029, 6.128e-4
-0.028, 6.132e-4
-0.027, 6.128e-4
-0.026, 6.133e-4
-0.025, 6.130e-4
-0.024, 6.132e-4
-0.023, 6.140e-4
-0.022, 6.138e-4
-0.021, 6.150e-4
-0.020, 6.147e-4
-0.019, 6.145e-4
-0.018, 6.153e-4
-0.017, 6.163e-4
-0.016, 6.161e-4
-0.015, 6.154e-4
-0.014, 6.155e-4
-0.013, 6.154e-4
-0.012, 6.164e-4
-0.011, 6.159e-4
-0.010, 6.152e-4
-0.009, 6.141e-4
-0.008, 6.146e-4
-0.007, 6.144e-4
-0.006, 6.153e-4
-0.005, 6.157e-4
-0.004, 6.161e-4
-0.003, 6.158e-4
-0.002, 6.161e-4
-0.001, 6.161e-4
-0.000, 6.145e-4
0.001, 6.146e-4
0.002, 6.150e-4
0.003, 6.158e-4
0.004, 6.171e-4
0.005, 6.172e-4
0.006, 6.165e-4
0.007, 6.171e-4
0.008, 6.157e-4
0.009, 6.174e-4
0.010, 6.184e-4
0.011, 6.164e-4
0.012, 6.173e-4
0.013, 6.160e-4
0.014, 6.166e-4
0.015, 6.162e-4
0.016, 6.168e-4
0.017, 6.172e-4
0.018, 6.176e-4
0.019, 6.181e-4
0.020, 6.184e-4
0.021, 6.186e-4
0.022, 6.185e-4
0.023, 6.173e-4
0.024, 6.182e-4
0.025, 6.184e-4
0.026, 6.179e-4
0.027, 6.178e-4
0.028, 6.177e-4
0.029, 6.173e-4
0.030, 6.177e-4
0.031, 6.178e-4
0.032, 6.182e-4
0.033, 6.175e-4
0.034, 6.176e-4
0.035, 6.187e-4
0.036, 6.186e-4
0.037, 6.187e-4
0.038, 6.188e-4
0.039, 6.181e-4
0.040, 6.190e-4
0.041, 6.209e-4
0.042, 6.215e-4
0.043, 6.196e-4
