May 6, 2023   17:08:14
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 3.858e-5
-0.099, 2.109e-5
-0.098, 1.117e-5
-0.097, 4.860e-6
-0.096, 6.486e-7
-0.095, -2.273e-6
-0.094, -4.469e-6
-0.093, -6.113e-6
-0.092, -7.687e-6
-0.091, -9.017e-6
-0.090, -1.002e-5
-0.089, -1.100e-5
-0.088, -1.170e-5
-0.087, -1.246e-5
-0.086, -1.293e-5
-0.085, -1.328e-5
-0.084, -1.377e-5
-0.083, -1.407e-5
-0.082, -1.410e-5
-0.081, -1.427e-5
-0.080, -1.424e-5
-0.079, -1.422e-5
-0.078, -1.406e-5
-0.077, -1.393e-5
-0.076, -1.375e-5
-0.075, -1.329e-5
-0.074, -1.307e-5
-0.073, -1.281e-5
-0.072, -1.219e-5
-0.071, -1.185e-5
-0.070, -1.145e-5
-0.069, -1.078e-5
-0.068, -1.050e-5
-0.067, -9.763e-6
-0.066, -9.145e-6
-0.065, -8.599e-6
-0.064, -7.916e-6
-0.063, -7.394e-6
-0.062, -6.792e-6
-0.061, -6.131e-6
-0.060, -5.481e-6
-0.059, -4.823e-6
-0.058, -4.401e-6
-0.057, -3.799e-6
-0.056, -3.131e-6
-0.055, -2.651e-6
-0.054, -2.186e-6
-0.053, -1.661e-6
-0.052, -1.294e-6
-0.051, -1.237e-6
-0.050, -4.303e-7
-0.049, 8.039e-8
-0.048, 5.635e-7
-0.047, 8.181e-7
-0.046, 1.150e-6
-0.045, 1.447e-6
-0.044, 1.625e-6
-0.043, 1.925e-6
-0.042, 2.099e-6
-0.041, 2.282e-6
-0.040, 2.509e-6
-0.039, 2.717e-6
-0.038, 2.930e-6
-0.037, 3.152e-6
-0.036, 3.218e-6
-0.035, 3.466e-6
-0.034, 3.532e-6
-0.033, 3.649e-6
-0.032, 3.819e-6
-0.031, 4.052e-6
-0.030, 4.250e-6
-0.029, 4.511e-6
-0.028, 4.678e-6
-0.027, 4.908e-6
-0.026, 5.073e-6
-0.025, 5.227e-6
-0.024, 5.636e-6
-0.023, 5.927e-6
-0.022, 6.275e-6
-0.021, 6.537e-6
-0.020, 6.735e-6
-0.019, 7.021e-6
-0.018, 7.442e-6
-0.017, 7.707e-6
-0.016, 7.914e-6
-0.015, 8.023e-6
-0.014, 8.288e-6
-0.013, 8.609e-6
-0.012, 8.853e-6
-0.011, 9.223e-6
-0.010, 9.440e-6
-0.009, 9.646e-6
-0.008, 9.980e-6
-0.007, 1.018e-5
-0.006, 1.033e-5
-0.005, 1.069e-5
-0.004, 1.084e-5
-0.003, 1.109e-5
-0.002, 1.136e-5
-0.001, 1.157e-5
-0.000, 1.139e-5
0.001, 1.200e-5
0.002, 1.232e-5
0.003, 1.237e-5
0.004, 1.252e-5
0.005, 1.274e-5
0.006, 1.291e-5
0.007, 1.306e-5
0.008, 1.356e-5
0.009, 1.360e-5
0.010, 1.373e-5
0.011, 1.397e-5
0.012, 1.404e-5
0.013, 1.428e-5
0.014, 1.446e-5
0.015, 1.457e-5
0.016, 1.486e-5
0.017, 1.480e-5
0.018, 1.486e-5
0.019, 1.510e-5
0.020, 1.517e-5
0.021, 1.539e-5
0.022, 1.550e-5
0.023, 1.561e-5
0.024, 1.572e-5
0.025, 1.571e-5
0.026, 1.570e-5
0.027, 1.584e-5
0.028, 1.596e-5
0.029, 1.618e-5
0.030, 1.622e-5
0.031, 1.625e-5
0.032, 1.628e-5
0.033, 1.649e-5
0.034, 1.650e-5
0.035, 1.656e-5
0.036, 1.652e-5
0.037, 1.667e-5
0.038, 1.671e-5
0.039, 1.670e-5
0.040, 1.681e-5
0.041, 1.685e-5
0.042, 1.684e-5
0.043, 1.685e-5
