May 6, 2023   17:33:28
Cyclic Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 0.9
Low E (V) = -0.25
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:
Segment 1:

Segment 2:
Ep = 0.441V
ip = 1.016e-4A
Ah = 2.388e-4C

Ep = -0.225V
ip = 4.091e-4A
Ah = 6.804e-4C

Segment 3:

Segment 4:
Ep = 0.447V
ip = 9.657e-5A
Ah = 2.221e-4C

Ep = -0.226V
ip = 4.305e-4A
Ah = 7.169e-4C

Segment 5:

Segment 6:
Ep = 0.448V
ip = 9.587e-5A
Ah = 2.218e-4C

Ep = -0.227V
ip = 4.381e-4A
Ah = 7.413e-4C

Potential/V, Current/A

-0.250, 4.894e-5
-0.249, 2.553e-5
-0.248, 6.305e-9
-0.247, -2.286e-5
-0.246, -4.355e-5
-0.245, -6.252e-5
-0.244, -7.994e-5
-0.243, -9.593e-5
-0.242, -1.107e-4
-0.241, -1.242e-4
-0.240, -1.367e-4
-0.239, -1.482e-4
-0.238, -1.590e-4
-0.237, -1.689e-4
-0.236, -1.782e-4
-0.235, -1.867e-4
-0.234, -1.947e-4
-0.233, -2.020e-4
-0.232, -2.090e-4
-0.231, -2.155e-4
-0.230, -2.215e-4
-0.229, -2.273e-4
-0.228, -2.326e-4
-0.227, -2.377e-4
-0.226, -2.424e-4
-0.225, -2.468e-4
-0.224, -2.511e-4
-0.223, -2.552e-4
-0.222, -2.589e-4
-0.221, -2.626e-4
-0.220, -2.661e-4
-0.219, -2.693e-4
-0.218, -2.725e-4
-0.217, -2.755e-4
-0.216, -2.784e-4
-0.215, -2.813e-4
-0.214, -2.839e-4
-0.213, -2.866e-4
-0.212, -2.891e-4
-0.211, -2.917e-4
-0.210, -2.942e-4
-0.209, -2.966e-4
-0.208, -2.989e-4
-0.207, -3.012e-4
-0.206, -3.034e-4
-0.205, -3.057e-4
-0.204, -3.081e-4
-0.203, -3.102e-4
-0.202, -3.124e-4
-0.201, -3.145e-4
-0.200, -3.167e-4
-0.199, -3.187e-4
-0.198, -3.209e-4
-0.197, -3.231e-4
-0.196, -3.251e-4
-0.195, -3.271e-4
-0.194, -3.293e-4
-0.193, -3.314e-4
-0.192, -3.335e-4
-0.191, -3.357e-4
-0.190, -3.377e-4
-0.189, -3.399e-4
-0.188, -3.420e-4
-0.187, -3.442e-4
-0.186, -3.464e-4
-0.185, -3.486e-4
-0.184, -3.508e-4
-0.183, -3.530e-4
-0.182, -3.551e-4
-0.181, -3.574e-4
-0.180, -3.595e-4
-0.179, -3.617e-4
-0.178, -3.639e-4
-0.177, -3.658e-4
-0.176, -3.679e-4
-0.175, -3.699e-4
-0.174, -3.718e-4
-0.173, -3.738e-4
-0.172, -3.757e-4
-0.171, -3.774e-4
-0.170, -3.792e-4
-0.169, -3.808e-4
-0.168, -3.823e-4
-0.167, -3.839e-4
-0.166, -3.853e-4
-0.165, -3.866e-4
-0.164, -3.877e-4
-0.163, -3.888e-4
-0.162, -3.898e-4
-0.161, -3.906e-4
-0.160, -3.914e-4
-0.159, -3.921e-4
-0.158, -3.924e-4
-0.157, -3.928e-4
-0.156, -3.930e-4
-0.155, -3.931e-4
-0.154, -3.932e-4
-0.153, -3.936e-4
-0.152, -3.933e-4
-0.151, -3.929e-4
-0.150, -3.923e-4
-0.149, -3.917e-4
-0.148, -3.910e-4
-0.147, -3.902e-4
-0.146, -3.894e-4
-0.145, -3.884e-4
-0.144, -3.874e-4
-0.143, -3.864e-4
-0.142, -3.853e-4
-0.141, -3.841e-4
-0.140, -3.830e-4
-0.139, -3.818e-4
-0.138, -3.806e-4
-0.137, -3.794e-4
-0.136, -3.782e-4
-0.135, -3.770e-4
-0.134, -3.759e-4
-0.133, -3.748e-4
-0.132, -3.736e-4
-0.131, -3.725e-4
-0.130, -3.716e-4
-0.129, -3.706e-4
-0.128, -3.698e-4
-0.127, -3.691e-4
-0.126, -3.682e-4
-0.125, -3.676e-4
-0.124, -3.670e-4
-0.123, -3.665e-4
-0.122, -3.662e-4
-0.121, -3.660e-4
-0.120, -3.658e-4
-0.119, -3.657e-4
-0.118, -3.656e-4
-0.117, -3.657e-4
-0.116, -3.658e-4
-0.115, -3.660e-4
-0.114, -3.662e-4
-0.113, -3.664e-4
-0.112, -3.668e-4
-0.111, -3.672e-4
-0.110, -3.676e-4
-0.109, -3.681e-4
-0.108, -3.686e-4
-0.107, -3.691e-4
-0.106, -3.696e-4
-0.105, -3.700e-4
-0.104, -3.704e-4
-0.103, -3.709e-4
-0.102, -3.715e-4
-0.101, -3.720e-4
-0.100, -3.722e-4
-0.099, -3.724e-4
-0.098, -3.727e-4
-0.097, -3.727e-4
-0.096, -3.729e-4
-0.095, -3.730e-4
-0.094, -3.729e-4
-0.093, -3.728e-4
-0.092, -3.726e-4
-0.091, -3.723e-4
-0.090, -3.720e-4
-0.089, -3.716e-4
-0.088, -3.710e-4
-0.087, -3.704e-4
-0.086, -3.697e-4
