May 6, 2023   17:35:36
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 7.356e-4
-0.099, 7.187e-4
-0.098, 7.076e-4
-0.097, 7.018e-4
-0.096, 6.997e-4
-0.095, 6.990e-4
-0.094, 6.986e-4
-0.093, 6.971e-4
-0.092, 6.947e-4
-0.091, 6.932e-4
-0.090, 6.939e-4
-0.089, 6.946e-4
-0.088, 6.948e-4
-0.087, 6.952e-4
-0.086, 6.953e-4
-0.085, 6.947e-4
-0.084, 6.942e-4
-0.083, 6.938e-4
-0.082, 6.941e-4
-0.081, 6.943e-4
-0.080, 6.945e-4
-0.079, 6.945e-4
-0.078, 6.949e-4
-0.077, 6.949e-4
-0.076, 6.948e-4
-0.075, 6.952e-4
-0.074, 6.955e-4
-0.073, 6.952e-4
-0.072, 6.932e-4
-0.071, 6.932e-4
-0.070, 6.945e-4
-0.069, 6.951e-4
-0.068, 6.952e-4
-0.067, 6.962e-4
-0.066, 6.975e-4
-0.065, 6.986e-4
-0.064, 6.985e-4
-0.063, 6.994e-4
-0.062, 6.981e-4
-0.061, 6.986e-4
-0.060, 6.998e-4
-0.059, 7.003e-4
-0.058, 7.006e-4
-0.057, 7.017e-4
-0.056, 7.031e-4
-0.055, 7.010e-4
-0.054, 7.014e-4
-0.053, 7.022e-4
-0.052, 7.009e-4
-0.051, 7.020e-4
-0.050, 7.032e-4
-0.049, 7.034e-4
-0.048, 7.032e-4
-0.047, 7.036e-4
-0.046, 7.033e-4
-0.045, 7.033e-4
-0.044, 7.032e-4
-0.043, 7.046e-4
-0.042, 7.041e-4
-0.041, 7.044e-4
-0.040, 7.058e-4
-0.039, 7.065e-4
-0.038, 7.057e-4
-0.037, 7.068e-4
-0.036, 7.085e-4
-0.035, 7.084e-4
-0.034, 7.085e-4
-0.033, 7.093e-4
-0.032, 7.097e-4
-0.031, 7.081e-4
-0.030, 7.088e-4
-0.029, 7.096e-4
-0.028, 7.090e-4
-0.027, 7.093e-4
-0.026, 7.088e-4
-0.025, 7.100e-4
-0.024, 7.122e-4
-0.023, 7.115e-4
-0.022, 7.098e-4
-0.021, 7.087e-4
-0.020, 7.094e-4
-0.019, 7.092e-4
-0.018, 7.118e-4
-0.017, 7.124e-4
-0.016, 7.123e-4
-0.015, 7.110e-4
-0.014, 7.110e-4
-0.013, 7.121e-4
-0.012, 7.128e-4
-0.011, 7.132e-4
-0.010, 7.129e-4
-0.009, 7.128e-4
-0.008, 7.134e-4
-0.007, 7.144e-4
-0.006, 7.143e-4
-0.005, 7.166e-4
-0.004, 7.170e-4
-0.003, 7.142e-4
-0.002, 7.144e-4
-0.001, 7.149e-4
-0.000, 7.139e-4
0.001, 7.137e-4
0.002, 7.145e-4
0.003, 7.161e-4
0.004, 7.157e-4
0.005, 7.144e-4
0.006, 7.157e-4
0.007, 7.170e-4
0.008, 7.154e-4
0.009, 7.158e-4
0.010, 7.155e-4
0.011, 7.155e-4
0.012, 7.155e-4
0.013, 7.140e-4
0.014, 7.156e-4
0.015, 7.164e-4
0.016, 7.177e-4
0.017, 7.168e-4
0.018, 7.166e-4
0.019, 7.176e-4
0.020, 7.160e-4
0.021, 7.159e-4
0.022, 7.157e-4
0.023, 7.149e-4
0.024, 7.152e-4
0.025, 7.124e-4
0.026, 7.161e-4
0.027, 7.201e-4
0.028, 7.172e-4
0.029, 7.168e-4
0.030, 7.161e-4
0.031, 7.154e-4
0.032, 7.150e-4
0.033, 7.158e-4
0.034, 7.167e-4
0.035, 7.164e-4
0.036, 7.161e-4
0.037, 7.171e-4
0.038, 7.177e-4
0.039, 7.181e-4
0.040, 7.156e-4
0.041, 7.167e-4
0.042, 7.162e-4
0.043, 7.139e-4
