May 6, 2023   14:39:21
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 2.969e-5
-0.099, 1.648e-5
-0.098, 1.122e-5
-0.097, 8.758e-6
-0.096, 7.174e-6
-0.095, 6.028e-6
-0.094, 5.235e-6
-0.093, 4.368e-6
-0.092, 3.625e-6
-0.091, 3.056e-6
-0.090, 2.750e-6
-0.089, 2.375e-6
-0.088, 1.916e-6
-0.087, 1.286e-6
-0.086, 9.899e-7
-0.085, 7.219e-7
-0.084, 4.453e-7
-0.083, 1.789e-7
-0.082, -1.592e-7
-0.081, -3.034e-7
-0.080, -2.128e-7
-0.079, -5.493e-7
-0.078, -7.101e-7
-0.077, -7.810e-7
-0.076, -8.441e-7
-0.075, -1.086e-6
-0.074, -1.401e-6
-0.073, -1.493e-6
-0.072, -1.375e-6
-0.071, -1.330e-6
-0.070, -1.419e-6
-0.069, -1.479e-6
-0.068, -1.699e-6
-0.067, -1.534e-6
-0.066, -1.707e-6
-0.065, -1.661e-6
-0.064, -1.701e-6
-0.063, -1.622e-6
-0.062, -1.687e-6
-0.061, -1.558e-6
-0.060, -1.614e-6
-0.059, -1.398e-6
-0.058, -1.534e-6
-0.057, -1.471e-6
-0.056, -1.308e-6
-0.055, -1.305e-6
-0.054, -1.441e-6
-0.053, -1.376e-6
-0.052, -1.337e-6
-0.051, -1.519e-6
-0.050, -1.114e-6
-0.049, -1.085e-6
-0.048, -8.685e-7
-0.047, -8.835e-7
-0.046, -8.598e-7
-0.045, -8.086e-7
-0.044, -7.085e-7
-0.043, -5.351e-7
-0.042, -2.215e-7
-0.041, -3.602e-7
-0.040, -4.264e-7
-0.039, -4.082e-7
-0.038, -2.845e-7
-0.037, -1.529e-7
-0.036, -1.237e-7
-0.035, 3.231e-8
-0.034, 1.915e-7
-0.033, 1.198e-7
-0.032, 1.560e-7
-0.031, 2.916e-7
-0.030, 3.342e-7
-0.029, 4.540e-7
-0.028, 5.816e-7
-0.027, 6.549e-7
-0.026, 6.084e-7
-0.025, 5.336e-7
-0.024, 7.235e-7
-0.023, 9.781e-7
-0.022, 1.084e-6
-0.021, 1.248e-6
-0.020, 1.251e-6
-0.019, 1.371e-6
-0.018, 1.514e-6
-0.017, 1.621e-6
-0.016, 1.727e-6
-0.015, 1.832e-6
-0.014, 1.815e-6
-0.013, 1.966e-6
-0.012, 2.014e-6
-0.011, 2.029e-6
-0.010, 2.197e-6
-0.009, 2.408e-6
-0.008, 2.427e-6
-0.007, 2.426e-6
-0.006, 2.486e-6
-0.005, 2.937e-6
-0.004, 2.887e-6
-0.003, 2.900e-6
-0.002, 3.027e-6
-0.001, 3.279e-6
-0.000, 2.931e-6
0.001, 3.414e-6
0.002, 3.492e-6
0.003, 3.616e-6
0.004, 3.667e-6
0.005, 3.900e-6
0.006, 3.868e-6
0.007, 3.844e-6
0.008, 3.906e-6
0.009, 3.981e-6
0.010, 3.992e-6
0.011, 4.387e-6
0.012, 4.216e-6
0.013, 4.231e-6
0.014, 4.209e-6
0.015, 4.350e-6
0.016, 4.559e-6
0.017, 4.488e-6
0.018, 4.621e-6
0.019, 4.626e-6
0.020, 4.738e-6
0.021, 4.917e-6
0.022, 5.009e-6
0.023, 4.970e-6
0.024, 4.992e-6
0.025, 5.028e-6
0.026, 4.903e-6
0.027, 5.177e-6
0.028, 5.228e-6
0.029, 5.182e-6
0.030, 5.301e-6
0.031, 5.310e-6
0.032, 5.321e-6
0.033, 5.459e-6
0.034, 5.454e-6
0.035, 5.399e-6
0.036, 5.419e-6
0.037, 5.600e-6
0.038, 5.597e-6
0.039, 5.597e-6
0.040, 5.657e-6
0.041, 5.672e-6
0.042, 5.615e-6
0.043, 5.507e-6
