May 6, 2023   15:04:43
Cyclic Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 0.9
Low E (V) = -0.25
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:
Segment 1:
Ep = 0.564V
ip = -9.201e-5A
Ah = -1.877e-4C

Segment 2:
Ep = 0.431V
ip = 7.507e-5A
Ah = 1.808e-4C

Segment 3:
Ep = 0.564V
ip = -9.316e-5A
Ah = -1.893e-4C

Segment 4:
Ep = 0.434V
ip = 7.574e-5A
Ah = 1.760e-4C

Segment 5:
Ep = 0.564V
ip = -9.523e-5A
Ah = -1.931e-4C

Segment 6:
Ep = 0.434V
ip = 7.563e-5A
Ah = 1.755e-4C

Potential/V, Current/A

-0.250, 1.889e-4
-0.249, 1.687e-4
-0.248, 1.467e-4
-0.247, 1.273e-4
-0.246, 1.099e-4
-0.245, 9.381e-5
-0.244, 7.894e-5
-0.243, 6.518e-5
-0.242, 5.238e-5
-0.241, 4.058e-5
-0.240, 2.936e-5
-0.239, 1.877e-5
-0.238, 8.675e-6
-0.237, -1.148e-6
-0.236, -1.049e-5
-0.235, -1.941e-5
-0.234, -2.804e-5
-0.233, -3.627e-5
-0.232, -4.431e-5
-0.231, -5.200e-5
-0.230, -5.952e-5
-0.229, -6.686e-5
-0.228, -7.394e-5
-0.227, -8.088e-5
-0.226, -8.755e-5
-0.225, -9.395e-5
-0.224, -1.002e-4
-0.223, -1.064e-4
-0.222, -1.123e-4
-0.221, -1.181e-4
-0.220, -1.236e-4
-0.219, -1.290e-4
-0.218, -1.343e-4
-0.217, -1.395e-4
-0.216, -1.444e-4
-0.215, -1.493e-4
-0.214, -1.541e-4
-0.213, -1.588e-4
-0.212, -1.632e-4
-0.211, -1.676e-4
-0.210, -1.719e-4
-0.209, -1.760e-4
-0.208, -1.800e-4
-0.207, -1.838e-4
-0.206, -1.875e-4
-0.205, -1.910e-4
-0.204, -1.946e-4
-0.203, -1.980e-4
-0.202, -2.014e-4
-0.201, -2.048e-4
-0.200, -2.080e-4
-0.199, -2.112e-4
-0.198, -2.143e-4
-0.197, -2.174e-4
-0.196, -2.202e-4
-0.195, -2.231e-4
-0.194, -2.260e-4
-0.193, -2.288e-4
-0.192, -2.317e-4
-0.191, -2.345e-4
-0.190, -2.371e-4
-0.189, -2.397e-4
-0.188, -2.422e-4
-0.187, -2.446e-4
-0.186, -2.472e-4
-0.185, -2.497e-4
-0.184, -2.520e-4
-0.183, -2.542e-4
-0.182, -2.563e-4
-0.181, -2.585e-4
-0.180, -2.606e-4
-0.179, -2.627e-4
-0.178, -2.647e-4
-0.177, -2.665e-4
-0.176, -2.683e-4
-0.175, -2.702e-4
-0.174, -2.718e-4
-0.173, -2.736e-4
-0.172, -2.752e-4
-0.171, -2.768e-4
-0.170, -2.782e-4
-0.169, -2.794e-4
-0.168, -2.807e-4
-0.167, -2.818e-4
-0.166, -2.827e-4
-0.165, -2.837e-4
-0.164, -2.844e-4
-0.163, -2.850e-4
-0.162, -2.855e-4
-0.161, -2.859e-4
-0.160, -2.864e-4
-0.159, -2.868e-4
-0.158, -2.870e-4
-0.157, -2.870e-4
-0.156, -2.869e-4
-0.155, -2.867e-4
-0.154, -2.866e-4
-0.153, -2.867e-4
-0.152, -2.863e-4
-0.151, -2.857e-4
-0.150, -2.849e-4
-0.149, -2.843e-4
-0.148, -2.834e-4
-0.147, -2.826e-4
-0.146, -2.817e-4
-0.145, -2.807e-4
-0.144, -2.797e-4
-0.143, -2.786e-4
-0.142, -2.773e-4
-0.141, -2.761e-4
-0.140, -2.749e-4
-0.139, -2.735e-4
-0.138, -2.723e-4
-0.137, -2.710e-4
-0.136, -2.698e-4
-0.135, -2.686e-4
-0.134, -2.675e-4
-0.133, -2.663e-4
-0.132, -2.650e-4
-0.131, -2.638e-4
-0.130, -2.627e-4
-0.129, -2.616e-4
-0.128, -2.606e-4
-0.127, -2.596e-4
-0.126, -2.584e-4
-0.125, -2.574e-4
-0.124, -2.565e-4
-0.123, -2.557e-4
-0.122, -2.550e-4
-0.121, -2.543e-4
-0.120, -2.536e-4
-0.119, -2.530e-4
-0.118, -2.524e-4
-0.117, -2.519e-4
-0.116, -2.514e-4
-0.115, -2.509e-4
-0.114, -2.506e-4
-0.113, -2.502e-4
-0.112, -2.500e-4
-0.111, -2.499e-4
-0.110, -2.497e-4
-0.109, -2.495e-4
-0.108, -2.494e-4
-0.107, -2.492e-4
-0.106, -2.491e-4
-0.105, -2.491e-4
-0.104, -2.490e-4
-0.103, -2.490e-4
-0.102, -2.491e-4
-0.101, -2.491e-4
-0.100, -2.490e-4
-0.099, -2.489e-4
-0.098, -2.488e-4
-0.097, -2.487e-4
-0.096, -2.486e-4
-0.095, -2.484e-4
-0.094, -2.481e-4
-0.093, -2.479e-4
-0.092, -2.476e-4
-0.091, -2.473e-4
-0.090, -2.471e-4
-0.089, -2.468e-4
-0.088, -2.463e-4
-0.087, -2.459e-4
-0.086, -2.454e-4
