May 6, 2023   15:18:14
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 7.470e-4
-0.099, 7.303e-4
-0.098, 7.216e-4
-0.097, 7.161e-4
-0.096, 7.140e-4
-0.095, 7.125e-4
-0.094, 7.107e-4
-0.093, 7.096e-4
-0.092, 7.076e-4
-0.091, 7.073e-4
-0.090, 7.069e-4
-0.089, 7.071e-4
-0.088, 7.061e-4
-0.087, 7.051e-4
-0.086, 7.045e-4
-0.085, 7.046e-4
-0.084, 7.046e-4
-0.083, 7.052e-4
-0.082, 7.056e-4
-0.081, 7.063e-4
-0.080, 7.061e-4
-0.079, 7.057e-4
-0.078, 7.050e-4
-0.077, 7.053e-4
-0.076, 7.050e-4
-0.075, 7.045e-4
-0.074, 7.056e-4
-0.073, 7.059e-4
-0.072, 7.064e-4
-0.071, 7.070e-4
-0.070, 7.068e-4
-0.069, 7.064e-4
-0.068, 7.074e-4
-0.067, 7.072e-4
-0.066, 7.075e-4
-0.065, 7.073e-4
-0.064, 7.076e-4
-0.063, 7.083e-4
-0.062, 7.099e-4
-0.061, 7.107e-4
-0.060, 7.089e-4
-0.059, 7.083e-4
-0.058, 7.062e-4
-0.057, 7.076e-4
-0.056, 7.089e-4
-0.055, 7.091e-4
-0.054, 7.087e-4
-0.053, 7.092e-4
-0.052, 7.088e-4
-0.051, 7.084e-4
-0.050, 7.093e-4
-0.049, 7.097e-4
-0.048, 7.091e-4
-0.047, 7.091e-4
-0.046, 7.099e-4
-0.045, 7.109e-4
-0.044, 7.107e-4
-0.043, 7.111e-4
-0.042, 7.115e-4
-0.041, 7.114e-4
-0.040, 7.122e-4
-0.039, 7.112e-4
-0.038, 7.119e-4
-0.037, 7.120e-4
-0.036, 7.124e-4
-0.035, 7.127e-4
-0.034, 7.135e-4
-0.033, 7.138e-4
-0.032, 7.142e-4
-0.031, 7.140e-4
-0.030, 7.143e-4
-0.029, 7.147e-4
-0.028, 7.148e-4
-0.027, 7.154e-4
-0.026, 7.160e-4
-0.025, 7.158e-4
-0.024, 7.152e-4
-0.023, 7.149e-4
-0.022, 7.146e-4
-0.021, 7.151e-4
-0.020, 7.172e-4
-0.019, 7.171e-4
-0.018, 7.169e-4
-0.017, 7.162e-4
-0.016, 7.164e-4
-0.015, 7.162e-4
-0.014, 7.163e-4
-0.013, 7.163e-4
-0.012, 7.164e-4
-0.011, 7.172e-4
-0.010, 7.177e-4
-0.009, 7.193e-4
-0.008, 7.191e-4
-0.007, 7.206e-4
-0.006, 7.176e-4
-0.005, 7.177e-4
-0.004, 7.179e-4
-0.003, 7.190e-4
-0.002, 7.191e-4
-0.001, 7.199e-4
-0.000, 7.210e-4
0.001, 7.221e-4
0.002, 7.219e-4
0.003, 7.212e-4
0.004, 7.202e-4
0.005, 7.197e-4
0.006, 7.204e-4
0.007, 7.202e-4
0.008, 7.195e-4
0.009, 7.206e-4
0.010, 7.209e-4
0.011, 7.196e-4
0.012, 7.209e-4
0.013, 7.206e-4
0.014, 7.203e-4
0.015, 7.220e-4
0.016, 7.212e-4
0.017, 7.205e-4
0.018, 7.212e-4
0.019, 7.203e-4
0.020, 7.197e-4
0.021, 7.203e-4
0.022, 7.219e-4
0.023, 7.213e-4
0.024, 7.214e-4
0.025, 7.196e-4
0.026, 7.191e-4
0.027, 7.229e-4
0.028, 7.223e-4
0.029, 7.227e-4
0.030, 7.213e-4
0.031, 7.220e-4
0.032, 7.224e-4
0.033, 7.229e-4
0.034, 7.220e-4
0.035, 7.225e-4
0.036, 7.229e-4
0.037, 7.214e-4
0.038, 7.224e-4
0.039, 7.228e-4
0.040, 7.216e-4
0.041, 7.214e-4
0.042, 7.226e-4
0.043, 7.227e-4
