May 6, 2023   17:58:27
Cyclic Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.25
High E (V) = 0.9
Low E (V) = -0.25
Init P/N = P
Scan Rate (V/s) = 0.05
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:
Segment 1:
Ep = 0.564V
ip = -1.682e-4A
Ah = -3.228e-4C

Segment 2:
Ep = 0.439V
ip = 1.379e-4A
Ah = 3.230e-4C

Ep = -0.229V
ip = 4.755e-4A
Ah = 8.428e-4C

Segment 3:
Ep = 0.574V
ip = -1.671e-4A
Ah = -3.302e-4C

Segment 4:
Ep = 0.441V
ip = 1.361e-4A
Ah = 3.193e-4C

Segment 5:
Ep = 0.596V
ip = -1.487e-4A
Ah = -3.519e-4C

Segment 6:
Ep = 0.441V
ip = 1.292e-4A
Ah = 3.125e-4C

Potential/V, Current/A

-0.250, 2.780e-5
-0.249, 3.239e-6
-0.248, -2.416e-5
-0.247, -4.920e-5
-0.246, -7.219e-5
-0.245, -9.338e-5
-0.244, -1.128e-4
-0.243, -1.307e-4
-0.242, -1.472e-4
-0.241, -1.625e-4
-0.240, -1.766e-4
-0.239, -1.896e-4
-0.238, -2.014e-4
-0.237, -2.127e-4
-0.236, -2.232e-4
-0.235, -2.329e-4
-0.234, -2.420e-4
-0.233, -2.503e-4
-0.232, -2.583e-4
-0.231, -2.657e-4
-0.230, -2.727e-4
-0.229, -2.792e-4
-0.228, -2.853e-4
-0.227, -2.911e-4
-0.226, -2.966e-4
-0.225, -3.018e-4
-0.224, -3.068e-4
-0.223, -3.116e-4
-0.222, -3.161e-4
-0.221, -3.205e-4
-0.220, -3.246e-4
-0.219, -3.285e-4
-0.218, -3.323e-4
-0.217, -3.361e-4
-0.216, -3.397e-4
-0.215, -3.431e-4
-0.214, -3.465e-4
-0.213, -3.498e-4
-0.212, -3.531e-4
-0.211, -3.563e-4
-0.210, -3.595e-4
-0.209, -3.625e-4
-0.208, -3.655e-4
-0.207, -3.684e-4
-0.206, -3.712e-4
-0.205, -3.743e-4
-0.204, -3.772e-4
-0.203, -3.800e-4
-0.202, -3.828e-4
-0.201, -3.856e-4
-0.200, -3.883e-4
-0.199, -3.912e-4
-0.198, -3.940e-4
-0.197, -3.968e-4
-0.196, -3.996e-4
-0.195, -4.023e-4
-0.194, -4.052e-4
-0.193, -4.080e-4
-0.192, -4.108e-4
-0.191, -4.136e-4
-0.190, -4.164e-4
-0.189, -4.192e-4
-0.188, -4.222e-4
-0.187, -4.250e-4
-0.186, -4.278e-4
-0.185, -4.307e-4
-0.184, -4.335e-4
-0.183, -4.364e-4
-0.182, -4.392e-4
-0.181, -4.421e-4
-0.180, -4.450e-4
-0.179, -4.478e-4
-0.178, -4.506e-4
-0.177, -4.533e-4
-0.176, -4.561e-4
-0.175, -4.589e-4
-0.174, -4.615e-4
-0.173, -4.641e-4
-0.172, -4.668e-4
-0.171, -4.693e-4
-0.170, -4.718e-4
-0.169, -4.742e-4
-0.168, -4.765e-4
-0.167, -4.787e-4
-0.166, -4.809e-4
-0.165, -4.829e-4
-0.164, -4.848e-4
-0.163, -4.865e-4
-0.162, -4.882e-4
-0.161, -4.896e-4
-0.160, -4.911e-4
-0.159, -4.925e-4
-0.158, -4.935e-4
-0.157, -4.945e-4
-0.156, -4.954e-4
-0.155, -4.960e-4
-0.154, -4.967e-4
-0.153, -4.977e-4
-0.152, -4.979e-4
-0.151, -4.979e-4
-0.150, -4.977e-4
-0.149, -4.974e-4
-0.148, -4.970e-4
-0.147, -4.965e-4
-0.146, -4.959e-4
-0.145, -4.949e-4
-0.144, -4.940e-4
-0.143, -4.930e-4
-0.142, -4.917e-4
-0.141, -4.904e-4
-0.140, -4.890e-4
-0.139, -4.874e-4
-0.138, -4.857e-4
-0.137, -4.840e-4
-0.136, -4.822e-4
-0.135, -4.804e-4
-0.134, -4.786e-4
-0.133, -4.767e-4
-0.132, -4.746e-4
-0.131, -4.726e-4
-0.130, -4.707e-4
-0.129, -4.686e-4
-0.128, -4.667e-4
-0.127, -4.648e-4
-0.126, -4.628e-4
-0.125, -4.611e-4
-0.124, -4.593e-4
-0.123, -4.575e-4
-0.122, -4.560e-4
-0.121, -4.545e-4
-0.120, -4.531e-4
-0.119, -4.518e-4
-0.118, -4.505e-4
-0.117, -4.494e-4
-0.116, -4.484e-4
-0.115, -4.475e-4
-0.114, -4.467e-4
-0.113, -4.459e-4
-0.112, -4.452e-4
-0.111, -4.447e-4
-0.110, -4.442e-4
-0.109, -4.439e-4
-0.108, -4.437e-4
-0.107, -4.434e-4
-0.106, -4.432e-4
-0.105, -4.431e-4
-0.104, -4.430e-4
-0.103, -4.430e-4
-0.102, -4.432e-4
-0.101, -4.432e-4
-0.100, -4.432e-4
-0.099, -4.431e-4
-0.098, -4.432e-4
-0.097, -4.430e-4
-0.096, -4.431e-4
-0.095, -4.430e-4
-0.094, -4.429e-4
-0.093, -4.428e-4
-0.092, -4.426e-4
-0.091, -4.424e-4
-0.090, -4.422e-4
-0.089, -4.419e-4
