May 6, 2023   18:09:24
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 5.114e-5
-0.099, 3.075e-5
-0.098, 1.816e-5
-0.097, 1.015e-5
-0.096, 4.860e-6
-0.095, 9.946e-7
-0.094, -1.884e-6
-0.093, -4.105e-6
-0.092, -5.745e-6
-0.091, -6.957e-6
-0.090, -8.187e-6
-0.089, -9.201e-6
-0.088, -9.812e-6
-0.087, -1.042e-5
-0.086, -1.086e-5
-0.085, -1.116e-5
-0.084, -1.143e-5
-0.083, -1.158e-5
-0.082, -1.158e-5
-0.081, -1.155e-5
-0.080, -1.138e-5
-0.079, -1.133e-5
-0.078, -1.111e-5
-0.077, -1.091e-5
-0.076, -1.072e-5
-0.075, -1.030e-5
-0.074, -1.002e-5
-0.073, -9.700e-6
-0.072, -9.285e-6
-0.071, -8.996e-6
-0.070, -8.722e-6
-0.069, -8.183e-6
-0.068, -7.788e-6
-0.067, -7.445e-6
-0.066, -7.028e-6
-0.065, -6.608e-6
-0.064, -6.198e-6
-0.063, -5.796e-6
-0.062, -5.303e-6
-0.061, -4.898e-6
-0.060, -4.690e-6
-0.059, -4.294e-6
-0.058, -4.004e-6
-0.057, -3.748e-6
-0.056, -3.240e-6
-0.055, -2.981e-6
-0.054, -2.680e-6
-0.053, -2.269e-6
-0.052, -1.986e-6
-0.051, -2.025e-6
-0.050, -1.506e-6
-0.049, -1.200e-6
-0.048, -9.205e-7
-0.047, -7.881e-7
-0.046, -5.982e-7
-0.045, -4.193e-7
-0.044, -2.341e-7
-0.043, 1.174e-7
-0.042, 3.019e-7
-0.041, 4.272e-7
-0.040, 6.376e-7
-0.039, 7.534e-7
-0.038, 9.481e-7
-0.037, 1.300e-6
-0.036, 1.438e-6
-0.035, 1.724e-6
-0.034, 1.991e-6
-0.033, 2.165e-6
-0.032, 2.383e-6
-0.031, 2.698e-6
-0.030, 2.976e-6
-0.029, 3.356e-6
-0.028, 3.714e-6
-0.027, 4.128e-6
-0.026, 4.382e-6
-0.025, 4.767e-6
-0.024, 5.249e-6
-0.023, 5.591e-6
-0.022, 6.061e-6
-0.021, 6.538e-6
-0.020, 6.935e-6
-0.019, 7.270e-6
-0.018, 7.697e-6
-0.017, 8.059e-6
-0.016, 8.515e-6
-0.015, 8.985e-6
-0.014, 9.370e-6
-0.013, 9.601e-6
-0.012, 9.952e-6
-0.011, 1.044e-5
-0.010, 1.077e-5
-0.009, 1.110e-5
-0.008, 1.156e-5
-0.007, 1.186e-5
-0.006, 1.206e-5
-0.005, 1.254e-5
-0.004, 1.281e-5
-0.003, 1.317e-5
-0.002, 1.351e-5
-0.001, 1.374e-5
-0.000, 1.357e-5
0.001, 1.420e-5
0.002, 1.459e-5
0.003, 1.491e-5
0.004, 1.504e-5
0.005, 1.536e-5
0.006, 1.558e-5
0.007, 1.574e-5
0.008, 1.608e-5
0.009, 1.616e-5
0.010, 1.635e-5
0.011, 1.660e-5
0.012, 1.673e-5
0.013, 1.698e-5
0.014, 1.716e-5
0.015, 1.726e-5
0.016, 1.744e-5
0.017, 1.762e-5
0.018, 1.770e-5
0.019, 1.779e-5
0.020, 1.794e-5
0.021, 1.817e-5
0.022, 1.831e-5
0.023, 1.829e-5
0.024, 1.853e-5
0.025, 1.865e-5
0.026, 1.871e-5
0.027, 1.897e-5
0.028, 1.899e-5
0.029, 1.904e-5
0.030, 1.914e-5
0.031, 1.918e-5
0.032, 1.930e-5
0.033, 1.937e-5
0.034, 1.937e-5
0.035, 1.957e-5
0.036, 1.964e-5
0.037, 1.969e-5
0.038, 1.976e-5
0.039, 1.981e-5
0.040, 1.991e-5
0.041, 1.987e-5
0.042, 1.989e-5
0.043, 2.006e-5
