May 6, 2023   15:59:41
Linear Sweep Voltammetry
File: d:\Data Source:  Experiment
Instrument Model:  CHI750E
Header: 
Note: 

Init E (V) = -0.1
Final E (V) = 0.8
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Results:

Channel 1:

Potential/V, Current/A

-0.100, 3.644e-4
-0.099, 3.621e-4
-0.098, 3.600e-4
-0.097, 3.581e-4
-0.096, 3.567e-4
-0.095, 3.555e-4
-0.094, 3.541e-4
-0.093, 3.529e-4
-0.092, 3.517e-4
-0.091, 3.505e-4
-0.090, 3.493e-4
-0.089, 3.482e-4
-0.088, 3.472e-4
-0.087, 3.461e-4
-0.086, 3.450e-4
-0.085, 3.441e-4
-0.084, 3.431e-4
-0.083, 3.422e-4
-0.082, 3.412e-4
-0.081, 3.402e-4
-0.080, 3.392e-4
-0.079, 3.384e-4
-0.078, 3.374e-4
-0.077, 3.365e-4
-0.076, 3.355e-4
-0.075, 3.346e-4
-0.074, 3.337e-4
-0.073, 3.329e-4
-0.072, 3.322e-4
-0.071, 3.314e-4
-0.070, 3.306e-4
-0.069, 3.297e-4
-0.068, 3.286e-4
-0.067, 3.277e-4
-0.066, 3.269e-4
-0.065, 3.261e-4
-0.064, 3.254e-4
-0.063, 3.246e-4
-0.062, 3.239e-4
-0.061, 3.234e-4
-0.060, 3.224e-4
-0.059, 3.215e-4
-0.058, 3.206e-4
-0.057, 3.197e-4
-0.056, 3.189e-4
-0.055, 3.179e-4
-0.054, 3.171e-4
-0.053, 3.163e-4
-0.052, 3.155e-4
-0.051, 3.148e-4
-0.050, 3.139e-4
-0.049, 3.132e-4
-0.048, 3.125e-4
-0.047, 3.117e-4
-0.046, 3.109e-4
-0.045, 3.102e-4
-0.044, 3.094e-4
-0.043, 3.086e-4
-0.042, 3.078e-4
-0.041, 3.071e-4
-0.040, 3.064e-4
-0.039, 3.057e-4
-0.038, 3.048e-4
-0.037, 3.040e-4
-0.036, 3.032e-4
-0.035, 3.023e-4
-0.034, 3.015e-4
-0.033, 3.008e-4
-0.032, 3.001e-4
-0.031, 2.992e-4
-0.030, 2.985e-4
-0.029, 2.976e-4
-0.028, 2.968e-4
-0.027, 2.961e-4
-0.026, 2.953e-4
-0.025, 2.946e-4
-0.024, 2.939e-4
-0.023, 2.931e-4
-0.022, 2.922e-4
-0.021, 2.914e-4
-0.020, 2.906e-4
-0.019, 2.899e-4
-0.018, 2.892e-4
-0.017, 2.883e-4
-0.016, 2.875e-4
-0.015, 2.868e-4
-0.014, 2.860e-4
-0.013, 2.852e-4
-0.012, 2.844e-4
-0.011, 2.836e-4
-0.010, 2.828e-4
-0.009, 2.820e-4
-0.008, 2.812e-4
-0.007, 2.805e-4
-0.006, 2.797e-4
-0.005, 2.789e-4
-0.004, 2.781e-4
-0.003, 2.774e-4
-0.002, 2.766e-4
-0.001, 2.757e-4
-0.000, 2.750e-4
0.001, 2.741e-4
0.002, 2.733e-4
0.003, 2.725e-4
0.004, 2.717e-4
0.005, 2.708e-4
0.006, 2.700e-4
0.007, 2.692e-4
0.008, 2.684e-4
0.009, 2.677e-4
0.010, 2.669e-4
0.011, 2.662e-4
0.012, 2.654e-4
0.013, 2.646e-4
0.014, 2.638e-4
0.015, 2.631e-4
0.016, 2.622e-4
0.017, 2.615e-4
0.018, 2.606e-4
0.019, 2.598e-4
0.020, 2.591e-4
0.021, 2.584e-4
0.022, 2.575e-4
0.023, 2.567e-4
0.024, 2.559e-4
0.025, 2.551e-4
0.026, 2.542e-4
0.027, 2.533e-4
0.028, 2.525e-4
0.029, 2.518e-4
0.030, 2.510e-4
0.031, 2.502e-4
0.032, 2.494e-4
0.033, 2.486e-4
0.034, 2.478e-4
0.035, 2.470e-4
0.036, 2.463e-4
0.037, 2.455e-4
0.038, 2.447e-4
0.039, 2.439e-4
0.040, 2.431e-4
0.041, 2.424e-4
0.042, 2.416e-4
0.043, 2.407e-4
